question,4,2,Ball A launched horizontally from cliff; Ball B dropped from same height at same instant. Which lands first?,,3,Ball B — no horizontal motion to slow fall,,Ball A — covers more distance,,They land at the same time,,Ball A — horizontal speed adds to downward acceleration,,,,,,Clue 2,5,0,,
question,4,3,"Astronaut Dave throws a ball horizontally on the Moon. Compared to Earth, the Moon ball ___.",,2,Falls faster — no air resistance,,Falls slower; weaker gravity gives greater horizontal range,,Travels the same range,,Does not fall — no atmosphere,,,,,,Clue 3,0,3,,
question,4,4,Which change would NOT help maximize a stunt car's range off a ramp?,,3,Increasing launch speed,,Adjusting launch angle toward 45 degrees,,Painting the car a different color,,Reducing mass to lower air resistance,,,,,,Clue 4,6,3,,
question,4,5,At which point along a projectile's path is the total SPEED the smallest?,,3,At the launch point,,Halfway through (horizontal),,At the highest point of the trajectory,,Just before impact,,,,,,Clue 5,3,5,,
question,5,1,Fired bullet (horizontal) vs. dropped bullet from same height — which hits ground first?,,2,Dropped — horizontal motion slows fall,,They land at the same time,,Fired — must travel farther; needs more time,,Fired — total speed is greater,,,,,,Clue 1,1,0,,
question,5,2,Rescue plane at constant altitude drops package. Pilot should release it _____ the hikers.,,2,Directly above,,Before reaching — package arcs forward to land on them,,After passing — package curves back,,Timing doesn't matter,,,,,,Clue 2,5,0,,
question,5,3,Planet X has 2x Earth's gravity. A 45° projectile on Planet X has ___.,,3,Greater range and height — stronger gravity,,Same range; shorter time of flight,,Shorter range; lower height; shorter flight time,,Identical trajectory — same launch conditions,,,,,,Clue 3,0,3,,
question,5,4,"At Point B (peak of trajectory), the horizontal velocity vector ___.",,2,Is zero — gravity stopped it,,Points forward; vertical velocity is zero,,Is zero; vertical velocity points downward,,Both vectors point downward,,,,,,Clue 4,6,3,,
question,5,5,Which object has the GREATEST momentum?,,3,2 kg at 10 m/s,,10 kg at rest,,1 kg at 30 m/s,,5 kg at 4 m/s,,,,,,Clue 5,3,5,,
question,6,1,A net force acts on an object for a period of time. What does this produce?,,2,A change in mass,,A change in momentum (impulse),,Conservation of energy only,,A constant velocity,,,,,,Clue 1,1,0,,
question,6,2,60 kg skater at rest pushes off wall and moves at 3 m/s. What is the wall's impulse on the skater?,,3,20 N·s,,0 N·s — the wall doesn't move,,180 N·s,,Depends on push duration,,,,,,Clue 2,5,0,,
question,6,3,Crumple zones reduce injury in a collision by ___.,,2,Reducing total impulse on passengers,,Increasing contact time; reducing average force,,Decreasing the car's change in momentum,,Increasing the car's momentum before impact,,,,,,Clue 3,0,3,,
question,6,4,"Skater A (2x mass) and Skater B push off from rest. Compared to B, Skater A moves at ___.",,3,Twice the speed in same direction,,Same speed; opposite direction,,Half the speed; opposite direction,,Stays still while B moves away,,,,,,Clue 4,6,3,,
question,6,5,"In a PERFECTLY INELASTIC collision (objects stick together), what is conserved?",,3,Kinetic energy only,,Total mechanical energy only,,Momentum only,,Both kinetic energy and momentum,,,,,,Clue 5,3,5,,
question,7,1,Large truck and small car collide head-on and stop. Which force statement is correct?,,3,Truck exerts greater force on car,,Car exerts greater force — truck is larger,,Both exert equal and opposite forces (Newton's 3rd),,Forces equal only if same speed,,,,,,Clue 1,1,0,,
question,7,2,Catching a baseball with PADDED mitt hurts less than rigid glove because ___.,,3,Padded mitt reduces total impulse on hand,,Rigid glove increases ball momentum,,Padded mitt increases contact time; reducing avg force,,Rigid glove transfers more energy,,,,,,Clue 2,5,0,,
question,7,3,Object A: p = 30 kg m/s before and 20 kg m/s after collision. What is A's momentum CHANGE?,,2,0 kg m/s,,-10 kg m/s,,+5 kg m/s,,+10 kg m/s,,,,,,Clue 3,0,3,,
question,7,4,Equal-mass carts: A's team pushes B. What happens?,,3,A stays still; B moves right,,A moves back slightly; B moves right with more momentum,,A and B move away at the same speed,,Both carts stay still,,,,,,Clue 4,6,3,,
question,7,5,What does a wave transfer from one place to another?,,2,Matter and mass,,Energy and information without transferring matter,,The medium itself,,Only information; not energy,,,,,,Clue 5,3,5,,
question,8,1,"In a TRANSVERSE wave, particles oscillate _____ to the direction of wave travel.",,2,Parallel,,Perpendicular,,Circular,,At 45 degrees,,,,,,Clue 1,1,0,,
question,8,2,A wave has frequency 5 Hz and wavelength 2 m. What is the wave's speed?,,2,2.5 m/s,,10 m/s,,0.4 m/s,,7 m/s,,,,,,Clue 2,5,0,,
question,8,3,You double frequency while keeping wave speed constant. What happens to wavelength?,,3,It doubles,,It stays the same,,It is halved,,It quadruples,,,,,,Clue 3,0,3,,
question,8,4,Two waves: crest +4 cm meets trough -4 cm at same point. The displacement is ___.,,3,+8 cm (constructive),,+4 cm,,0 cm (destructive),,-4 cm,,,,,,Clue 4,6,3,,
question,8,5,Sound travels faster in steel than air because steel molecules are ___.,,3,Heavier — vibrate with more force,,Better conductors of electricity,,Tightly packed — transmit vibrations faster,,Part of transverse waves (which are faster),,,,,,Clue 5,3,5,,
